Sequence,RawData,Position384,OriginalSequence
58,40.0025,Plate 1 L22,166
66,21.9452,Plate 1 N22,167
74,32.1867,Plate 1 P22,168
82,21.7786,Plate 1 B21,169
90,29.6002,Plate 1 D21,170
98,107.6276,Plate 1 F21,171
106,28.126,Plate 1 H21,172
114,24.7522,Plate 1 J21,173
122,28.9687,Plate 1 L21,174
130,24.0417,Plate 1 N21,175
138,34.2027,Plate 1 P21,176
146,25.0199,Plate 1 B20,177
154,53.09,Plate 1 D20,178
162,34.8853,Plate 1 F20,179
170,25.7114,Plate 1 H20,180
178,24.8493,Plate 1 J20,181
186,24.2517,Plate 1 L20,182
194,39.0482,Plate 1 N20,183
202,24.0536,Plate 1 P20,184
210,23.9844,Plate 1 B19,185
218,26.2602,Plate 1 D19,186
226,27.8401,Plate 1 F19,187
234,21.986,Plate 1 H19,188
242,27.2184,Plate 1 J19,189
250,21.517,Plate 1 L19,190
258,25.3015,Plate 1 N19,191
266,34.301,Plate 1 P19,192
274,22.0456,Plate 1 B3,193
282,21.182,Plate 1 D3,194
290,22.6214,Plate 1 F3,195
298,22.1197,Plate 1 H3,196
306,26.6554,Plate 1 J3,197
314,26.3707,Plate 1 L3,198
DMSO,20.5346,Plate 1 N3,199
322,25.9072,Plate 1 P3,200
330,28.2975,Plate 1 B4,201
338,27.0964,Plate 1 D4,202
346,25.6572,Plate 1 F4,203
354,25.8801,Plate 1 H4,204
362,23.5404,Plate 1 J4,205
370,31.2785,Plate 1 L4,206
378,25.0982,Plate 1 N4,207
386,25.474,Plate 1 P4,208
394,24.1999,Plate 1 B5,209
402,23.0576,Plate 1 D5,210
410,24.5027,Plate 1 F5,211
418,22.7797,Plate 1 H5,212
426,21.8945,Plate 1 J5,213
434,22.5697,Plate 1 L5,214
442,22.7371,Plate 1 N5,215
450,26.9101,Plate 1 P5,216
458,22.4132,Plate 1 B6,217
466,21.5197,Plate 1 D6,218
474,23.8533,Plate 1 F6,219
482,21.1584,Plate 1 H6,220
490,24.6126,Plate 1 J6,221
498,25.1298,Plate 1 L6,222
506,24.4098,Plate 1 N6,223
514,25.3296,Plate 1 P6,224
522,24.7061,Plate 1 B7,225
530,26.521,Plate 1 D7,226
538,32.1507,Plate 1 F7,227
546,257.6241,Plate 1 H7,228
554,81.1395,Plate 1 J7,229
562,54.5853,Plate 1 L7,230
570,52.9256,Plate 1 N7,231
578,53.0926,Plate 1 P7,232
