Position96
15-G11
12-H3
1-H8
11-C6
10-D6
2-E11
14-B4
11-B6
12-H11
7-D7
14-E6
10-C10
8-C10
15-D7
11-B2
2-B11
12-B8
3-H2
9-F4
2-D7
1-D7
13-C10
3-F11
3-E10
6-H11
3-D5
1-G7
